threatlabel,ja4,url,blog,malpedia
cobaltstrikebeacon,t12d190800_d83cc789557e_7af1ed941c26,https://www.virustotal.com/gui/file/10e68f3e6c73161a1bba85ef9bada0cd79e25382ea8f8635bec4aa51bfe6c707/behavior,https://www.netresec.com/?page=Blog&month=2024-01&post=Hunting-for-Cobalt-Strike-in-PCAP,https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike
trojan.msil,t12d210700_76e208dd3e22_2dae41c691ec,https://www.virustotal.com/gui/file/72c229baf23a09579a66f3121ced7038e1653158370ef0a4648cbc1a44c9d8a4/behavior,,
IcedID Malware,t13d201100_2b729b4bf6f3_9e7b989ebec8,,https://blog.apnic.net/2023/11/22/ja4-network-fingerprinting,https://malpedia.caad.fkie.fraunhofer.de/details/win.icedid
Sliver Malware (GoLang),t13d190900_9dc949149365_97f8aa674fd9,https://www.virustotal.com/gui/file/00b001f5d30e7a51bf9eced4e41267912353153dcc52605a737a6778aaecfbfb/behavior,https://blog.apnic.net/2023/11/22/ja4-network-fingerprinting,https://malpedia.caad.fkie.fraunhofer.de/details/win.sliver
Evilginx,t13d191000_9dc949149365_e7c285222651,,https://blog.apnic.net/2023/11/22/ja4-network-fingerprinting,https://malpedia.caad.fkie.fraunhofer.de/details/elf.evilginx
SoftEther VPN,t13d880900_fcb5b95cb75a_b0d3b4ac2a14,,https://blog.apnic.net/2023/11/22/ja4-network-fingerprinting,
SnakeLogger/Redline,t10d070600_c50f5591e341_1a3805c3aa63,,https://blog.virustotal.com/2024/10/unveiling-hidden-connections-ja4-client.html,https://malpedia.caad.fkie.fraunhofer.de/details/win.redline_stealer
Linux Miner Trojan,t12d5908h1_7bd0586cbef7_046e095b7c4a,,https://blog.virustotal.com/2024/10/unveiling-hidden-connections-ja4-client.html,
GoLang Malware 2,t12d210700_76e208dd3e22_f28add8e7af0,https://www.virustotal.com/gui/file/00b001f5d30e7a51bf9eced4e41267912353153dcc52605a737a6778aaecfbfb/behavior,,
